date,open,high,low,close,volume,log_return,simple_return
2024-09-20,2734.228,2741.155,2717.945,2736.814,28564462700,0.00028942946784038526,0.00028947135658996537
2024-09-23,2735.39,2760.48,2731.357,2748.918,25764215400,0.004412909577988344,0.004422660801939982
2024-09-24,2770.754,2863.152,2761.372,2863.126,47761954500,0.040706655218050614,0.04154652848866358
2024-09-25,2901.419,2952.451,2889.048,2896.306,56825981600,0.011522096997428122,0.011588732036242888
2024-09-26,2893.745,3000.953,2889.014,3000.953,57631926100,0.03549377296444867,0.03613119608218196
2024-09-27,3049.103,3087.529,3017.445,3087.529,49228716300,0.028441189733131367,0.028849502141486294
2024-09-30,3194.722,3358.588,3153.697,3336.497,110233791700,0.07755035959277379,0.08063665150999388
2024-10-08,3674.405,3674.405,3372.187,3489.775,131346019500,0.044915810006711965,0.04593979853720831
2024-10-09,3427.22,3437.157,3249.159,3258.858,99275725600,-0.0684604369636137,-0.06616959546102541
2024-10-10,3277.692,3379.805,3228.125,3301.926,83450025700,0.013129107328200718,0.013215672484041985
2024-10-11,3287.873,3297.752,3187.988,3217.738,60602743300,-0.025827306360174163,-0.025496634388535666
2024-10-14,3241.428,3294.62,3203.901,3284.323,63146685900,0.02048191419097023,0.020693108015630957
2024-10-15,3265.746,3285.215,3201.292,3201.292,56605455800,-0.025606064096821868,-0.02528100920646359
2024-10-16,3169.169,3236.848,3167.736,3202.948,51581399700,0.0005171573947588826,0.0005172911437008043
2024-10-17,3220.733,3241.568,3169.384,3169.384,52861177200,-0.010534388475633705,-0.010479096132687715
2024-10-18,3165.975,3313.978,3152.821,3261.563,69301462300,0.028669281093272048,0.029084200589136522
2024-10-21,3276.06,3300.664,3239.097,3268.11,66815029900,0.002005307829023195,0.002007319803419394
2024-10-22,3263.822,3294.961,3255.138,3285.867,57491378100,0.005418707892621555,0.005433415643904205
2024-10-23,3285.247,3331.082,3277.066,3302.803,65044412800,0.005140957826313297,0.005154195224578384
2024-10-24,3287.824,3292.945,3266.882,3280.263,51982707400,-0.006847899772534305,-0.006824506335981861
2024-10-25,3280.762,3319.357,3276.13,3299.7,59565170700,0.005907953140640743,0.005925439515063191
2024-10-28,3300.463,3322.198,3279.715,3322.198,67237313100,0.006795056814898004,0.006818195593538912
2024-10-29,3328.089,3340.458,3284.211,3286.407,72532615400,-0.010831741323846344,-0.010773289250068707
2024-10-30,3273.642,3291.68,3244.806,3266.238,66901809000,-0.00615600683216222,-0.006137097444108508
2024-10-31,3267.975,3295.742,3252.39,3279.824,78464909400,0.0041508985118632324,0.004159525423438337
2024-11-01,3275.577,3305.318,3258.735,3272.014,85205532000,-0.002384064959843002,-0.0023812253340422807
2024-11-04,3275.679,3310.207,3263.842,3310.207,66507745400,0.011605027737964235,0.011672627317609097
