date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-04-22,1831.86,1839.84,1798.2,1801.71,2685002.0,5539295656.0,1256197800.0,0.002137403838790356,-0.011846015227899187,-0.011776127425706773
2021-04-23,1802.12,1858.14,1799.08,1848.55,3346277.0,7002695288.0,1256197800.0,0.0026638137720031035,0.02566533404964133,0.02599752457387705
2021-04-26,1868.76,1871.39,1817.57,1821.27,3404511.0,7160836874.0,1256197800.0,0.0027101711211403173,-0.014867488051595323,-0.0147575126450461
2021-04-27,1829.39,1836.55,1810.11,1835.84,2210785.0,4607779002.0,1256197800.0,0.0017599019835888902,0.007968082495615647,0.007999912149214472
2021-04-28,1761.83,1794.7,1755.69,1789.88,8134295.0,16463574637.0,1256197800.0,0.006475329760965988,-0.025353563932071665,-0.025034861425832222
2021-04-29,1794.29,1796.84,1765.33,1776.17,4128378.0,8370431228.0,1256197800.0,0.0032864076023696267,-0.00768921778953402,-0.007659731378639956
2021-04-30,1775.85,1784.62,1756.31,1759.0,3840137.0,7723747038.0,1256197800.0,0.0030569524958569422,-0.009713894954342273,-0.009666867473271168
2021-05-06,1753.06,1759.06,1711.86,1717.12,5354614.0,10584968907.0,1256197800.0,0.004262556422244968,-0.0240969969403535,-0.023808982376350207
2021-05-07,1722.38,1725.0,1666.29,1668.04,5249339.0,10101703446.0,1256197800.0,0.004178751944956439,-0.028999184350699814,-0.028582743197912763
2021-05-10,1665.41,1673.3,1635.62,1647.03,4600318.0,8677753608.0,1256197800.0,0.003662096844939547,-0.012675618498506402,-0.012595621208124519
2021-05-11,1644.37,1723.26,1642.01,1717.12,4249412.0,8209251914.0,1256197800.0,0.0033827570785428854,0.041674802849206216,0.042555387576425296
2021-05-12,1708.43,1752.19,1708.36,1739.04,3269887.0,6473203286.0,1256197800.0,0.0026030032849922204,0.01268476801767271,0.01276556093924719
2021-05-13,1723.04,1739.96,1711.86,1728.08,2507751.0,4934954969.0,1256197800.0,0.0019963026523370764,-0.006322271226220089,-0.006302327721041556
2021-05-14,1737.28,1779.8,1732.02,1761.7,3561129.0,7150302044.0,1256197800.0,0.0028348473464927257,0.019268286344437335,0.019455117818619527
2021-05-17,1775.06,1827.74,1775.06,1803.87,4452400.0,9178509985.0,1256197800.0,0.0035443462804981827,0.023655105008620225,0.023937106204234393
2021-05-18,1810.04,1820.55,1792.56,1805.05,1750428.0,3595891742.0,1256197800.0,0.0013934334226663985,0.0006539352726306902,0.0006541491349154605
2021-05-19,1804.78,1818.63,1788.12,1796.01,2240972.0,4606452358.0,1256197800.0,0.0017839324348442578,-0.005020754438970876,-0.005008171518794513
2021-05-20,1817.92,1818.01,1792.82,1804.67,2185716.0,4500663211.0,1256197800.0,0.0017399457314763646,0.004810211792226404,0.0048217994331880565
2021-05-21,1801.34,1823.08,1785.51,1789.96,2424823.0,4976601458.0,1256197800.0,0.001930287570954192,-0.008184476351199343,-0.008151074711720163
2021-05-24,1797.76,1823.24,1780.23,1815.55,3254808.0,6705879397.0,1256197800.0,0.0025909996021327214,0.014195178881171167,0.014296408858298415
2021-05-25,1827.57,1928.46,1827.57,1923.55,6775695.0,14636718750.0,1256197800.0,0.0053938121846734645,0.05778398503818938,0.059486106138635586
